tag;task;description;pickup-priority;days;remarks;prompt
TODO;desktop-led-lamp;;0.1;1;;
TODO;headphones;;0.1;1;;
TODO;phone;2 screens phone with stylus and dock station;0.1;1;;
TODO;vr-set;;0.1;1;;
TODO;drone-set;choose remote controller first, investigate;0.1;1;;
TODO;mic;;0.1;1;;
TODO;folder;folder for papers; use for printed cheat sheets and some reusable papers;0.1;1;;
TODO;DRL drone simulator;DRL drone simulator, it's only 8 euros;0.2;1;https://store.epicgames.com/en-US/p/the-drone-racing-league-simulator;
TODO;mirror;mirror for cabinet, measure aspects, 3 pieces;0.1;1;;
